DATE,MSINI,ECC
2010,0.242938,0.03
2010,4.1951,0.036
2010,2.17173,0.041
2010,0.951497,0.048
2010,0.642621,0.05
2010,0.039229,0.055
2010,1.81548,0.06
2010,0.685652,0.067
2010,0.916321,0.07
2010,2.54762,0.08
2010,1.56395,0.09
2010,1.5591,0.1
2010,2.22166,0.107
2010,0.843564,0.11
2010,2.70016,0.111
2010,2.97219,0.112
2010,0.854333,0.114
2010,2.84877,0.119
2010,0.016075,0.12
2010,0.768085,0.12
2010,1.36628,0.123
2010,2.85432,0.131
2010,0.16858,0.132575
2010,6.59355,0.133
2010,0.024004,0.14
2010,0.033375,0.14
2010,10.3722,0.144
2010,0.045941,0.15
2010,0.682196,0.15
2010,0.248865,0.150841
2010,1.12925,0.157
2010,0.020855,0.16
2010,3.14944,0.177
2010,1.9513,0.19
2010,0.328101,0.19
2010,0.082507,0.198
2010,0.698769,0.2
2010,0.824243,0.21
2010,2.24099,0.22
2010,0.732711,0.22
2010,1.97113,0.229
2010,3.50088,0.23
2010,2.6885,0.24
2010,1.9935,0.255
2010,22.6261,0.257
2010,0.37199,0.26
2010,0.790506,0.27
2010,0.058067,0.27499
2010,2.11299,0.29
2010,0.325341,0.3
2010,2.13728,0.31
2010,0.297735,0.314
2010,0.071593,0.35
2010,2.60901,0.4
2010,1.96509,0.4
2010,0.385706,0.41
2010,2.12711,0.4686
2010,0.327524,0.49
2010,1.42633,0.52
2010,0.847612,0.52
2010,2.75448,0.53
2010,7.77836,0.54
2010,0.589265,0.61
2010,1.1614,0.81
2010,0.596868,0.83
2011,0.026615,0
2011,0.615135,0
2011,1.9075,0
2011,0.578118,0
2011,0.013058,0
2011,0.014214,0
2011,0.861357,0
2011,0.098243,0
2011,1.51375,0
2011,0.041676,0
2011,0.012329,0
2011,0.185935,0
2011,2.47651,0
2011,0.762345,0
2011,1.14167,0
2011,0.018797,0
2011,1.79324,0
2011,3.21573,0
2011,1.7613,0
2011,1.01508,0
2011,7.56823,0
2011,1.89038,0
2011,2.12353,0
2011,0.049486,0
2011,0.493327,0
2011,2.17681,0
2011,2.45898,0
2011,0.477154,0
2011,1.08272,0
2011,0.431855,0
2011,0.716644,0
2011,0.023686,0
2011,1.77,0
2011,0.284135,0
2011,0.067381,0
2011,0.969551,0
2011,0.871881,0
2011,0.93905,0
2011,2.76572,0
2011,0.019194,0.003606
2011,0.928529,0.0038
2011,1.46438,0.009
2011,7.27817,0.015
2011,2.14822,0.016
2011,2.70891,0.028
2011,0.706657,0.035
2011,8.40643,0.035005
2011,0.581308,0.038
2011,1.94873,0.04
2011,3.48002,0.04
2011,0.627451,0.051
2011,0.024749,0.064
2011,0.079789,0.065
2011,5.22845,0.066
2011,1.30477,0.066
2011,0.292129,0.067
2011,0.041505,0.077
2011,0.022188,0.08
2011,0.956204,0.08
2011,0.197162,0.084
2011,0.778006,0.095
2011,2.9072,0.101
2011,0.005774,0.102489
2011,2.0884,0.106
2011,0.510798,0.11
2011,0.011395,0.11
2011,1.85721,0.117
2011,2.8638,0.12
2011,1.41137,0.12
2011,18.1767,0.121
2011,0.058631,0.124
2011,0.053126,0.13
2011,0.074325,0.133
2011,0.66177,0.133933
2011,2.43233,0.14
2011,0.037655,0.143
2011,0.017495,0.15
2011,0.206033,0.151
2011,2.24115,0.163
2011,0.354314,0.166
2011,1.8997,0.168
2011,0.945722,0.181
2011,1.83564,0.184
2011,0.295018,0.19
2011,4.47808,0.211
2011,1.49247,0.22
2011,4.07346,0.228
2011,0.643827,0.24
2011,2.16627,0.245
2011,1.71662,0.25
2011,0.013069,0.27
2011,0.665099,0.287
2011,1.79425,0.291
2011,0.212872,0.3
2011,0.501427,0.3
2011,0.05653,0.31
2011,0.073607,0.32
2011,4.43286,0.328
2011,0.050977,0.34
2011,0.227816,0.36
2011,0.26689,0.37
2011,1.40289,0.37
2011,13.1868,0.4
2011,11.0869,0.402
2011,0.338157,0.41
2011,0.131884,0.41
2011,1.51716,0.412
2011,9.98356,0.569
2011,6.52644,0.64
2011,13.8403,0.8191
2011,1.3131,0.82
2012,1.52019,0
2012,0.884655,0
2012,0.496749,0
2012,0.799609,0
2012,,0
2012,0.003546,0
2012,1.00188,0
2012,2.08495,0
2012,0.877779,0
2012,1.84394,0
2012,0.619927,0
2012,2.483,0
2012,0.562022,0
2012,0.377818,0
2012,0.376728,0
2012,0.598375,0
2012,2.05477,0
2012,2.25537,0
2012,0.57116,0
2012,2.30754,0
2012,1.1233,0
2012,0.540155,0
2012,0.043986,0
2012,0.88769,0
2012,0.418184,0
2012,3.36552,0.013
2012,1.05305,0.025
2012,0.566683,0.032
2012,1.10724,0.047
2012,0.410096,0.05
2012,3.98653,0.05
2012,1.1719,0.058
2012,1.83475,0.063
2012,0.267451,0.067
2012,6.01,0.07
2012,1.33352,0.085
2012,6.04937,0.11
2012,2.7597,0.117
2012,2.2924,0.12
2012,0.564176,0.13
2012,4.09607,0.13
2012,0.73,0.15
2012,2.02633,0.16
2012,3.07662,0.16
2012,0.036571,0.187
2012,1.47372,0.19
2012,1.47736,0.191
2012,1.2654,0.2
2012,0.807324,0.22
2012,0.480333,0.26
2012,0.730294,0.27
2012,0.528573,0.27
2012,1.60642,0.28
2012,4.00701,0.3
2012,0.535943,0.33
2012,0.530106,0.346
2012,5.31949,0.4
2012,3.32973,0.441
2012,1.44975,0.51
2012,4.24157,0.562
2012,1.34632,0.59
2012,9.7848,0.708
2012,0.768857,0.73
2013,1.06236,0
2013,0.675475,0
2013,1.31694,0
2013,1.2034,0
2013,,0
2013,0.478203,0
2013,2.77639,0
2013,1.454,0
2013,0.009584,0
2013,0.890462,0
2013,0.026804,0
2013,1.75912,0
2013,2.24554,0
2013,1.24683,0
2013,0.511799,0
2013,0.494408,0
2013,1.54502,0
2013,0.006272,0
2013,1.2691,0
2013,0.551763,0
2013,1.07114,0
2013,0.665286,0
2013,0.605178,0
2013,1.03967,0
2013,0.26487,0
2013,0.45566,0
2013,0.430694,0
2013,0.828342,0
2013,2.00868,0
2013,1.40552,0
2013,0.478732,0
2013,1.34754,0
2013,0.098688,0.019
2013,1.13,0.02
2013,0.302867,0.022
2013,1.068,0.024
2013,3.07016,0.027
2013,20.3246,0.031
2013,0.865,0.046
2013,6.62362,0.05
2013,0.630293,0.067
2013,1.9,0.075
2013,10.014,0.08
2013,0.018199,0.08
2013,0.368054,0.09
2013,0.049814,0.09
2013,0.010788,0.098489
2013,0.021552,0.099
2013,0.859026,0.1
2013,1.70083,0.106
2013,0.033876,0.11
2013,5.13,0.12
2013,1.85957,0.12
2013,1.62021,0.129
2013,2.37727,0.13
2013,11.1883,0.14
2013,0.077154,0.15
2013,0.80971,0.18
2013,2.36493,0.23
2013,0.028733,0.25
2013,0.054683,0.25
2013,1.11647,0.26
2013,0.168248,0.31
2013,2.3,0.37
2013,0.09261,0.373
2013,2.83,0.46
2013,4.4772,0.66
2013,10.4511,0.77
2014,1.48481,0
2014,0.087214,0
2014,0.589331,0
2014,1.815,0
2014,0.030444,0
2014,0.01999,0
2014,0.694028,0
2014,0.905271,0
2014,0,0
2014,0.008575,0
2014,0.563202,0
2014,0.010694,0
2014,1.72579,0
2014,0.259116,0
2014,1.26427,0
2014,0.026166,0
2014,10.371,0
2014,1.11131,0
2014,0.020355,0
2014,0.012644,0
2014,0.018723,0
2014,0,0
2014,0.0168,0
2014,0.026991,0
2014,0.052549,0
2014,0.956493,0
2014,0.029687,0
2014,0.008142,0
2014,0.418542,0
2014,0.619839,0
2014,0.010276,0
2014,0.049721,0
2014,0,0
2014,1.87866,0
2014,0,0
2014,1.03429,0.002
2014,0.722794,0.0102
2014,1.25726,0.013
2014,0.43015,0.016
2014,0.237646,0.019
2014,8.2,0.02
2014,3.28703,0.025
2014,0.450523,0.04
2014,0.059019,0.04
2014,1.33442,0.048
2014,0.893809,0.049
2014,0.758053,0.066
2014,1.18891,0.074
2014,0.041305,0.077
2014,7.8,0.08
2014,0.917,0.086
2014,2.4,0.09
2014,1.41789,0.09
2014,0.495889,0.123
2014,1.371,0.1528
2014,2.5485,0.155
2014,0.259,0.18
2014,0.016749,0.18
2014,6.1,0.19
2014,0.431127,0.22
2014,0.346328,0.24
2014,0.506039,0.25
2014,0.339714,0.272
2014,0.27543,0.302
2014,7.03702,0.319
2014,1.88274,0.35
2014,0.397418,0.39
2014,7.81295,0.533
2014,19.8471,0.61
